app_id,app_name,category,app_type,content_rating,genres,sub_genres,sub_genres_y_n
A0001,Monster Truck Driver & Racing,EDUCATION,Free,Everyone,Education,Action & Adventure,1
A0002,Club Penguin Island,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0003,Rockstars of Ooo,FAMILY,Paid,Everyone 10+,Arcade,Action & Adventure,1
A0004,Formula Cartoon All Stars,FAMILY,Paid,Everyone,Racing,Action & Adventure,1
A0005,Chuck E.'s Skate Universe,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0006,Disney Magic Timer by Oral-B,FAMILY,Free,Everyone,Health & Fitness,Action & Adventure,1
A0007,Whoowasit? - Best kids game!,FAMILY,Paid,Everyone,Board,Action & Adventure,1
A0008,Cute Pet Puppies,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0009,RISK: Global Domination,FAMILY,Free,Everyone,Board,Action & Adventure,1
A0010,Batman: Gotham’s Most Wanted!,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0011,Thomas & Friends: Go Go Thomas,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0012,Tic Tac Toe,FAMILY,Free,Everyone,Board,Action & Adventure,1
A0013,Thomas & Friends: Race On!,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0014,My Little Pony: Harmony Quest,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0015,Thomas & Friends: Race On!,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0016,My Little Pony: Harmony Quest,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0017,Blamburger - Clarence,FAMILY,Free,Everyone 10+,Arcade,Action & Adventure,1
A0018,CN Superstar Soccer: Goal!!!,FAMILY,Paid,Everyone,Sports,Action & Adventure,1
A0019,PJ Masks: HQ,FAMILY,Free,Everyone,Entertainment,Action & Adventure,1
A0020,LEGO® Juniors Create & Cruise,FAMILY,Free,Everyone,Educational,Action & Adventure,1
A0021,LEGO® Juniors Create & Cruise,FAMILY,Free,Everyone,Educational,Action & Adventure,1
A0022,Moana Island Life,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0023,Touch Racing 2 - Mini RC Race,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0024,LEGO ® Batman: Beyond Gotham,FAMILY,Paid,Everyone 10+,Adventure,Action & Adventure,1
A0025,Transformers Rescue Bots: Hero Adventures,FAMILY,Free,Everyone,Adventure,Action & Adventure,1
A0026,Thomas & Friends: Delivery,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0027,My Little Pony: Story Creator,FAMILY,Free,Everyone,Education,Action & Adventure,1
A0028,Free Fur All – We Bare Bears,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0029,Little Panda Run,FAMILY,Free,Everyone,Educational,Action & Adventure,1
A0030,Little Fire Station,FAMILY,Free,Everyone,Education,Action & Adventure,1
A0031,Ben 10: Alien Experience,FAMILY,Free,Everyone 10+,Action,Action & Adventure,1
A0032,MagiMobile – Mighty Magiswords,FAMILY,Free,Everyone,Entertainment,Action & Adventure,1
A0033,LEGO Batman: DC Super Heroes,FAMILY,Paid,Everyone 10+,Adventure,Action & Adventure,1
A0034,Snoopy's Town Tale - City Building Simulator,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0035,Ice Cream Jump,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0036,Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0037,Nighty Night Circus,FAMILY,Paid,Everyone,Education,Action & Adventure,1
A0038,Nighty Night Circus,FAMILY,Paid,Everyone,Education,Action & Adventure,1
A0039,My Little Pony Rainbow Runners,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0040,The Great Wobo Escape Ep.1,FAMILY,Paid,Everyone 10+,Action,Action & Adventure,1
A0041,Burrito Bash – We Bare Bears,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0042,Card Wars - Adventure Time,FAMILY,Paid,Everyone 10+,Card,Action & Adventure,1
A0043,Soundtrack Attack,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0044,Card Wars Kingdom,FAMILY,Free,Everyone 10+,Card,Action & Adventure,1
A0045,Shopkins World!,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0046,Shopkins World!,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0047,Frozen Free Fall,FAMILY,Free,Everyone,Puzzle,Action & Adventure,1
A0048,Frozen Free Fall,FAMILY,Free,Everyone,Puzzle,Action & Adventure,1
A0049,Frozen Free Fall,FAMILY,Free,Everyone,Puzzle,Action & Adventure,1
A0050,NBA JAM by EA SPORTS™,FAMILY,Paid,Everyone,Sports,Action & Adventure,1
A0051,Strawberry Shortcake BerryRush,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0052,Strawberry Shortcake BerryRush,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0053,Equestria Girls,FAMILY,Free,Everyone,Role Playing,Action & Adventure,1
A0054,Equestria Girls,FAMILY,Free,Everyone,Role Playing,Action & Adventure,1
A0055,Equestria Girls,FAMILY,Free,Everyone,Role Playing,Action & Adventure,1
A0056,PAC-MAN Pop,FAMILY,Free,Everyone,Puzzle,Action & Adventure,1
A0057,Wrecker's Revenge - Gumball,FAMILY,Free,Everyone,Puzzle,Action & Adventure,1
A0058,Paw Patrol by ShuffleCards,FAMILY,Free,Everyone,Entertainment,Action & Adventure,1
A0059,LEGO® DC Mighty Micros,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0060,Nasty Goats,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0061,Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0062,Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0063,Extreme Racing 2 - Real driving RC cars game!,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0064,DC Super Hero Girls™,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0065,DC Super Hero Girls™,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0066,DC Super Hero Girls™,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0067,Turbo FAST,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0068,Turbo FAST,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0069,Flipped Out! - Powerpuff Girls,FAMILY,Paid,Everyone 10+,Action,Action & Adventure,1
A0070,Transformers Rescue Bots: Disaster Dash,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0071,Guardians of Ancora,FAMILY,Free,Everyone,Educational,Action & Adventure,1
A0072,Car Racing game for Kids - Beepzz Dogs 🐕,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0073,Monster Truck Driver & Racing,FAMILY,Free,Everyone,Education,Action & Adventure,1
A0074,Plants vs. Zombies™ Heroes,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0075,Plants vs. Zombies™ Heroes,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0076,Boomerang Make and Race,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0077,PJ Masks: Moonlight Heroes,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0078,PJ Masks: Moonlight Heroes,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0079,PJ Masks: Moonlight Heroes,FAMILY,Free,Everyone,Casual,Action & Adventure,1
A0080,"Alizay, pirate girl",FAMILY,Paid,Everyone,Casual,Action & Adventure,1
A0081,Go-Go-Goat! Free Game,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0082,OK K.O.! Lakewood Plaza Turbo,FAMILY,Free,Everyone 10+,Action,Action & Adventure,1
A0083,Leo and Tig,FAMILY,Free,Everyone,Adventure,Action & Adventure,1
A0084,Teen Titans GO Figure!,FAMILY,Paid,Everyone 10+,Action,Action & Adventure,1
A0085,Farming Simulator 14,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0086,Farming Simulator 14,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0087,"What's Up, Snoopy? - Peanuts",FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0088,ROBLOX,FAMILY,Free,Everyone 10+,Adventure,Action & Adventure,1
A0089,ROBLOX,FAMILY,Free,Everyone 10+,Adventure,Action & Adventure,1
A0090,ROBLOX,FAMILY,Free,Everyone 10+,Adventure,Action & Adventure,1
A0091,ROBLOX,FAMILY,Free,Everyone 10+,Adventure,Action & Adventure,1
A0092,Pony Friends 🦄 - Beepzz racing game for kids,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0093,Real Racing 3,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0094,Real Racing 3,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0095,Cars: Lightning League,FAMILY,Free,Everyone,Racing,Action & Adventure,1
A0096,Disney Crossy Road,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0097,Ski Safari: Adventure Time,FAMILY,Paid,Everyone,Arcade,Action & Adventure,1
A0098,Teeny Titans - Teen Titans Go!,FAMILY,Paid,Everyone 10+,Strategy,Action & Adventure,1
A0099,Henry Danger Crime Warp,FAMILY,Free,Everyone,Action,Action & Adventure,1
A0100,Super Slime Blitz - Gumball,FAMILY,Free,Everyone,Arcade,Action & Adventure,1
A0101,Monster High™ Minis Mania,FAMILY,Free,Everyone,Strategy,Action & Adventure,1
A0102,Surely You Quest - Magiswords,FAMILY,Free,Everyone 10+,Role Playing,Action & Adventure,1
A0103,My Oasis - Calming and Relaxing Idle Clicker Game,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0104,Attack the Light,FAMILY,Paid,Everyone,Role Playing,Action & Adventure,1
A0105,Dog Run - Pet Dog Simulator,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0106,Dog Run - Pet Dog Simulator,FAMILY,Free,Everyone,Simulation,Action & Adventure,1
A0107,Ninja Dash - Ronin Jump RPG,FAMILY,Free,Everyone 10+,Arcade,Action & Adventure,1
A0108,Strawberry Shortcake BerryRush,GAME,Free,Everyone,Action,Action & Adventure,1
