app_id,app_name,category,app_type,content_rating,genres,sub_genre,rating,reviews,app_size,installs,price,last_updated
A0001,Monster Truck Driver & Racing,EDUCATION,Free,Everyone,Education,1,4.4,748,51,1000000,0.00 ,1/19/2017
A0002,Club Penguin Island,FAMILY,Free,Everyone,Casual,1,2.8,107441,32,1000000,0.00 ,7/10/2018
A0003,Rockstars of Ooo,FAMILY,Paid,Everyone 10+,Arcade,1,3.4,642,26,10000,1.99 ,8/11/2015
A0004,Formula Cartoon All Stars,FAMILY,Paid,Everyone,Racing,1,3.9,1213,18,10000,2.99 ,6/25/2015
A0005,Chuck E.'s Skate Universe,FAMILY,Free,Everyone,Action,1,3.9,94910,44,10000000,0.00 ,1/10/2017
A0006,Disney Magic Timer by Oral-B,FAMILY,Free,Everyone,Health & Fitness,1,3.9,31061,83,1000000,0.00 ,6/16/2018
A0007,Whoowasit? - Best kids game!,FAMILY,Paid,Everyone,Board,1,4,248,26,5000,2.99 ,7/24/2018
A0008,Cute Pet Puppies,FAMILY,Free,Everyone,Simulation,1,4,10447,36,1000000,0.00 ,2/18/2016
A0009,RISK: Global Domination,FAMILY,Free,Everyone,Board,1,4,68559,75,5000000,0.00 ,7/31/2018
A0010,Batman: Gotham’s Most Wanted!,FAMILY,Free,Everyone,Action,1,4,16190,88,1000000,0.00 ,4/24/2018
A0011,Thomas & Friends: Go Go Thomas,FAMILY,Free,Everyone,Racing,1,4.1,175625,16,10000000,0.00 ,11/22/2017
A0012,Tic Tac Toe,FAMILY,Free,Everyone,Board,1,4.1,6007,18,1000000,0.00 ,7/3/2017
A0013,Thomas & Friends: Race On!,FAMILY,Free,Everyone,Casual,1,4.1,29319,26,5000000,0.00 ,5/18/2018
A0014,My Little Pony: Harmony Quest,FAMILY,Free,Everyone,Casual,1,4.1,148295,26,10000000,0.00 ,3/5/2018
A0015,Thomas & Friends: Race On!,FAMILY,Free,Everyone,Casual,1,4.1,29319,26,5000000,0.00 ,5/18/2018
A0016,My Little Pony: Harmony Quest,FAMILY,Free,Everyone,Casual,1,4.1,148405,26,10000000,0.00 ,3/5/2018
A0017,Blamburger - Clarence,FAMILY,Free,Everyone 10+,Arcade,1,4.1,30444,27,1000000,0.00 ,10/26/2015
A0018,CN Superstar Soccer: Goal!!!,FAMILY,Paid,Everyone,Sports,1,4.1,3863,41,100000,2.99 ,5/24/2018
A0019,PJ Masks: HQ,FAMILY,Free,Everyone,Entertainment,1,4.1,13731,55,1000000,0.00 ,6/22/2018
A0020,LEGO® Juniors Create & Cruise,FAMILY,Free,Everyone,Educational,1,4.1,673203,73,50000000,0.00 ,1/19/2018
A0021,LEGO® Juniors Create & Cruise,FAMILY,Free,Everyone,Educational,1,4.1,672089,73,50000000,0.00 ,1/19/2018
A0022,Moana Island Life,FAMILY,Free,Everyone,Simulation,1,4.1,15246,78,1000000,0.00 ,7/12/2017
A0023,Touch Racing 2 - Mini RC Race,FAMILY,Free,Everyone,Racing,1,4.1,41867,78,1000000,0.00 ,5/18/2017
A0024,LEGO ® Batman: Beyond Gotham,FAMILY,Paid,Everyone 10+,Adventure,1,4.1,10758,8,100000,4.99 ,12/15/2015
A0025,Transformers Rescue Bots: Hero Adventures,FAMILY,Free,Everyone,Adventure,1,4.2,41273,16,5000000,0.00 ,7/5/2018
A0026,Thomas & Friends: Delivery,FAMILY,Free,Everyone,Casual,1,4.2,28737,17,1000000,0.00 ,2/5/2016
A0027,My Little Pony: Story Creator,FAMILY,Free,Everyone,Education,1,4.2,11002,21,1000000,0.00 ,5/11/2017
A0028,Free Fur All – We Bare Bears,FAMILY,Free,Everyone,Arcade,1,4.2,256916,25,10000000,0.00 ,10/8/2015
A0029,Little Panda Run,FAMILY,Free,Everyone,Educational,1,4.2,3235,32,1000000,0.00 ,6/20/2018
A0030,Little Fire Station,FAMILY,Free,Everyone,Education,1,4.2,3762,44,1000000,0.00 ,7/2/2018
A0031,Ben 10: Alien Experience,FAMILY,Free,Everyone 10+,Action,1,4.2,82005,45,10000000,0.00 ,10/24/2017
A0032,MagiMobile – Mighty Magiswords,FAMILY,Free,Everyone,Entertainment,1,4.2,120035,45,5000000,0.00 ,1/4/2018
A0033,LEGO Batman: DC Super Heroes,FAMILY,Paid,Everyone 10+,Adventure,1,4.2,2557,5.8,50000,4.99 ,5/9/2016
A0034,Snoopy's Town Tale - City Building Simulator,FAMILY,Free,Everyone,Simulation,1,4.2,47031,58,1000000,0.00 ,7/30/2018
A0035,Ice Cream Jump,FAMILY,Free,Everyone,Casual,1,4.2,141363,8.7,10000000,0.00 ,1/21/2018
A0036,Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,Free,Everyone,Racing,1,4.2,2178,99,500000,0.00 ,8/23/2017
A0037,Nighty Night Circus,FAMILY,Paid,Everyone,Education,1,4.3,382,15,10000,2.99 ,3/7/2017
A0038,Nighty Night Circus,FAMILY,Paid,Everyone,Education,1,4.3,382,15,10000,2.99 ,3/7/2017
A0039,My Little Pony Rainbow Runners,FAMILY,Free,Everyone,Casual,1,4.3,33785,16,5000000,0.00 ,12/20/2017
A0040,The Great Wobo Escape Ep.1,FAMILY,Paid,Everyone 10+,Action,1,4.3,11,20,500,1.99 ,5/3/2016
A0041,Burrito Bash – We Bare Bears,FAMILY,Free,Everyone,Arcade,1,4.3,10776,21,1000000,0.00 ,10/26/2017
A0042,Card Wars - Adventure Time,FAMILY,Paid,Everyone 10+,Card,1,4.3,129603,23,1000000,2.99 ,2/11/2016
A0043,Soundtrack Attack,FAMILY,Free,Everyone,Action,1,4.3,96045,25,5000000,0.00 ,7/26/2016
