app_id,app_name,rating,reviews,app_size,installs, price ,last_updated
A0001,Monster Truck Driver & Racing,4.4,748,51,"1,000,000", -   ,1/19/2017
A0002,Club Penguin Island,2.8,107441,32,"1,000,000", -   ,7/10/2018
A0003,Rockstars of Ooo,3.4,642,26,"10,000",1.99,8/11/2015
A0004,Formula Cartoon All Stars,3.9,1213,18,"10,000",2.99,6/25/2015
A0005,Chuck E.'s Skate Universe,3.9,94910,44,"10,000,000", -   ,1/10/2017
A0006,Disney Magic Timer by Oral-B,3.9,31061,83,"1,000,000", -   ,6/16/2018
A0007,Whoowasit? - Best kids game!,4,248,26,"5,000",2.99,7/24/2018
A0008,Cute Pet Puppies,4,10447,36,"1,000,000", -   ,2/18/2016
A0009,RISK: Global Domination,4,68559,75,"5,000,000", -   ,7/31/2018
A0010,Batman: Gotham’s Most Wanted!,4,16190,88,"1,000,000", -   ,4/24/2018
A0011,Thomas & Friends: Go Go Thomas,4.1,175625,16,"10,000,000", -   ,11/22/2017
A0012,Tic Tac Toe,4.1,6007,18,"1,000,000", -   ,7/3/2017
A0013,Thomas & Friends: Race On!,4.1,29319,26,"5,000,000", -   ,5/18/2018
A0014,My Little Pony: Harmony Quest,4.1,148295,26,"10,000,000", -   ,3/5/2018
A0015,Thomas & Friends: Race On!,4.1,29319,26,"5,000,000", -   ,5/18/2018
A0016,My Little Pony: Harmony Quest,4.1,148405,26,"10,000,000", -   ,3/5/2018
A0017,Blamburger - Clarence,4.1,30444,27,"1,000,000", -   ,10/26/2015
A0018,CN Superstar Soccer: Goal!!!,4.1,3863,41,"100,000",2.99,5/24/2018
A0019,PJ Masks: HQ,4.1,13731,55,"1,000,000", -   ,6/22/2018
A0020,LEGO® Juniors Create & Cruise,4.1,673203,73,"50,000,000", -   ,1/19/2018
A0021,LEGO® Juniors Create & Cruise,4.1,672089,73,"50,000,000", -   ,1/19/2018
A0022,Moana Island Life,4.1,15246,78,"1,000,000", -   ,7/12/2017
A0023,Touch Racing 2 - Mini RC Race,4.1,41867,78,"1,000,000", -   ,5/18/2017
A0024,LEGO ® Batman: Beyond Gotham,4.1,10758,8,"100,000",4.99,12/15/2015
A0025,Transformers Rescue Bots: Hero Adventures,4.2,41273,16,"5,000,000", -   ,7/5/2018
A0026,Thomas & Friends: Delivery,4.2,28737,17,"1,000,000", -   ,2/5/2016
A0027,My Little Pony: Story Creator,4.2,11002,21,"1,000,000", -   ,5/11/2017
A0028,Free Fur All – We Bare Bears,4.2,256916,25,"10,000,000", -   ,10/8/2015
A0029,Little Panda Run,4.2,3235,32,"1,000,000", -   ,6/20/2018
A0030,Little Fire Station,4.2,3762,44,"1,000,000", -   ,7/2/2018
A0031,Ben 10: Alien Experience,4.2,82005,45,"10,000,000", -   ,10/24/2017
A0032,MagiMobile – Mighty Magiswords,4.2,120035,45,"5,000,000", -   ,1/4/2018
A0033,LEGO Batman: DC Super Heroes,4.2,2557,5.8,"50,000",4.99,5/9/2016
A0034,Snoopy's Town Tale - City Building Simulator,4.2,47031,58,"1,000,000", -   ,7/30/2018
A0035,Ice Cream Jump,4.2,141363,8.7,"10,000,000", -   ,1/21/2018
A0036,Xtreme Racing 2018 - Jeep & 4x4 off road simulator,4.2,2178,99,"500,000", -   ,8/23/2017
A0037,Nighty Night Circus,4.3,382,15,"10,000",2.99,3/7/2017
A0038,Nighty Night Circus,4.3,382,15,"10,000",2.99,3/7/2017
A0039,My Little Pony Rainbow Runners,4.3,33785,16,"5,000,000", -   ,12/20/2017
